date,replicate,treatment,burrow_count,mean_burrow_diameter,set,mean_air_temp,mean_baro,mean_wind_speed,mean_wind_vec,mean_PAR,mean_humidity
10/19/2022,7,Control,2,25.34,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,7,Compact,1,28.47,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,7,Rake,3,23.86,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,7,Marine Debris,4,37.345,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,8,Control,2,37.41,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,8,Compact,0,0,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,8,Rake,1,9.23,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,8,Marine Debris,2,12.225,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,9,Control,0,0,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,9,Compact,0,0,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,9,Rake,4,26.0575,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,9,Marine Debris,5,31.126,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,10,Control,2,12.475,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,10,Compact,0,0,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,10,Rake,0,0,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/19/2022,10,Marine Debris,2,33.47,north,11.9493,1016.94,4.7198,346.3785,389.656,54.9885
10/20/2022,1,Control,1,30.27,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,1,Compact,2,13.505,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,1,Rake,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,1,Marine Debris,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,2,Control,3,15.19333333,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,2,Compact,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,2,Rake,2,12.97,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,2,Marine Debris,1,12.55,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,3,Control,2,35.545,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,3,Compact,1,16.09,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,3,Rake,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,3,Marine Debris,4,24.9325,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,4,Control,2,8.945,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,4,Compact,1,12.28,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,4,Rake,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,4,Marine Debris,2,30.455,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,5,Control,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,5,Compact,0,0,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,5,Rake,1,21.02,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,5,Marine Debris,1,11.17,south,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,6,Control,3,16.76666667,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,6,Compact,1,31,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,6,Rake,3,10.01,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,6,Marine Debris,3,21.63666667,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,7,Control,4,17.205,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,7,Compact,1,26.23,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,7,Rake,0,0,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,7,Marine Debris,2,32.04,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,8,Control,2,32.665,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,8,Compact,2,19.305,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,8,Rake,0,0,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,8,Marine Debris,3,10.14666667,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,9,Control,4,19.755,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,9,Compact,1,23.02,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,9,Rake,5,39.106,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,9,Marine Debris,6,16.75666667,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,10,Control,1,46.07,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,10,Compact,0,0,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,10,Rake,1,20.29,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/20/2022,10,Marine Debris,2,16.46,north,12.2442,1018.89,1.3647,350.2852,385.615,67.9125
10/21/2022,1,Control,2,17.62,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,1,Compact,2,16.025,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,1,Rake,1,29.75,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,1,Marine Debris,3,15.53666667,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,2,Control,6,15.58,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,2,Compact,2,5.63,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,2,Rake,1,23.39,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,2,Marine Debris,2,20.1,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,3,Control,4,27.34,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,3,Compact,2,13.49,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,3,Rake,1,54.6,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,3,Marine Debris,6,26.03666667,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,4,Control,1,20.95,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,4,Compact,2,9.46,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,4,Rake,2,12.485,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,4,Marine Debris,4,16.935,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,5,Control,3,9.796666667,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,5,Compact,1,49.41,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,5,Rake,0,0,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,5,Marine Debris,0,0,south,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,6,Control,5,17.272,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,6,Compact,1,18.48,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,6,Rake,4,20.385,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,6,Marine Debris,4,17.93,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,7,Control,3,23.34666667,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,7,Compact,0,0,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,7,Rake,4,14.9525,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,7,Marine Debris,4,22.21,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,8,Control,2,34.485,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,8,Compact,3,19.03666667,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,8,Rake,1,10.37,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,8,Marine Debris,0,0,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,9,Control,2,18.94,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,9,Compact,1,22.43,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,9,Rake,3,32.43666667,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,9,Marine Debris,4,10.84,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,10,Control,1,10.14,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,10,Compact,1,29.89,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,10,Rake,0,0,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
10/21/2022,10,Marine Debris,5,23.186,north,13.1783,1018.23,2.3959,35.5864,381,65.7052
